crop_name,planting_date,harvest_date,growth_stage,pest_control_measures,yield_prediction
Barley,2023-06-04,2023-08-17,Maturity,Regular field monitoring,2899
Potato,2025-02-01,2025-04-20,Vegetative,Biological pest control,2703
Tomato,2024-07-27,2024-12-16,Maturity,Neem oil application,2541
Barley,2024-06-27,2024-09-25,Maturity,Neem oil application,2013
Lettuce,2023-06-23,2023-11-16,Vegetative,Crop rotation,4665
Potato,2023-11-20,2024-01-21,Seedling,Use of organic pesticides,1697
Lettuce,2023-05-18,2023-08-22,Flowering,Crop rotation,606
Tomato,2023-04-18,2023-07-31,Maturity,Regular field monitoring,635
Wheat,2024-04-08,2024-07-17,Seedling,Crop rotation,2869
Rice,2023-08-25,2023-11-26,Maturity,Biological pest control,4862
Cotton,2024-05-12,2024-09-29,Vegetative,Crop rotation,2303
Lettuce,2024-10-02,2025-02-26,Maturity,Biological pest control,4831
Corn,2024-12-03,2025-05-09,Flowering,Use of organic pesticides,3518
Potato,2024-03-06,2024-05-26,Vegetative,Regular field monitoring,4655
Soybean,2023-05-24,2023-11-06,Flowering,Neem oil application,4805
Cotton,2023-07-31,2023-11-21,Maturity,Regular field monitoring,4434
Cotton,2023-08-04,2023-10-08,Fruiting,Regular field monitoring,3611
Rice,2024-12-06,2025-05-31,Flowering,Regular field monitoring,1986
Potato,2023-07-01,2023-11-21,Fruiting,Use of organic pesticides,2278
Wheat,2025-02-05,2025-05-07,Vegetative,Crop rotation,1986
Wheat,2023-07-11,2023-12-02,Vegetative,Crop rotation,4107
Rice,2024-01-01,2024-05-03,Vegetative,Crop rotation,1127
Tomato,2024-08-03,2025-01-03,Seedling,Use of organic pesticides,842
Rice,2023-06-28,2023-12-17,Vegetative,Neem oil application,1943
Tomato,2025-01-03,2025-04-15,Vegetative,Biological pest control,2757
Lettuce,2025-02-16,2025-05-23,Flowering,Neem oil application,4564
Barley,2024-07-23,2024-12-09,Fruiting,Biological pest control,4450
Cotton,2024-09-08,2024-11-19,Fruiting,Use of organic pesticides,1640
Wheat,2024-12-31,2025-04-19,Fruiting,Use of organic pesticides,610
Potato,2024-06-17,2024-10-06,Maturity,Neem oil application,650
Barley,2023-11-30,2024-03-29,Flowering,Biological pest control,732
Barley,2023-08-28,2023-11-30,Seedling,Biological pest control,3966
Potato,2024-06-17,2024-09-19,Seedling,Biological pest control,2278
Corn,2023-12-27,2024-03-03,Seedling,Chemical pesticides,4547
Rice,2023-12-16,2024-03-16,Flowering,Chemical pesticides,2941
Cotton,2023-08-27,2024-01-23,Seedling,Regular field monitoring,2188
Tomato,2024-01-27,2024-06-24,Vegetative,Use of organic pesticides,1081
Corn,2024-03-19,2024-09-03,Seedling,Biological pest control,3565
Sugarcane,2024-04-05,2024-06-24,Flowering,Regular field monitoring,1017
Sugarcane,2025-01-31,2025-06-19,Seedling,Neem oil application,974
Rice,2023-12-22,2024-03-05,Fruiting,Crop rotation,561
Potato,2023-12-29,2024-05-01,Maturity,Crop rotation,1158
Potato,2024-09-16,2025-01-14,Fruiting,Neem oil application,2283
Soybean,2024-05-22,2024-10-19,Vegetative,Neem oil application,3676
Corn,2023-03-26,2023-08-22,Seedling,Crop rotation,3771
Tomato,2024-10-01,2025-01-07,Maturity,Use of organic pesticides,1557
Potato,2023-02-18,2023-06-06,Flowering,Neem oil application,3708
Tomato,2024-01-11,2024-06-19,Flowering,Crop rotation,1137
Lettuce,2023-03-01,2023-08-07,Vegetative,Use of organic pesticides,4959
Barley,2024-11-13,2025-05-07,Flowering,Use of organic pesticides,3043
Potato,2024-10-25,2025-01-28,Fruiting,Neem oil application,4315
Wheat,2023-07-04,2023-11-07,Vegetative,Biological pest control,2710
Soybean,2023-08-22,2024-01-07,Seedling,Regular field monitoring,2128
Wheat,2025-01-28,2025-03-31,Vegetative,Crop rotation,2979
Wheat,2024-04-12,2024-10-08,Flowering,Chemical pesticides,2261
Tomato,2023-06-28,2023-11-05,Maturity,Biological pest control,1043
Corn,2023-08-04,2024-01-28,Seedling,Regular field monitoring,1821
Barley,2024-09-22,2025-03-16,Vegetative,Biological pest control,3287
Lettuce,2023-09-13,2024-01-31,Maturity,Regular field monitoring,3505
Soybean,2024-05-25,2024-09-03,Maturity,Chemical pesticides,4147
Sugarcane,2024-11-28,2025-05-22,Fruiting,Crop rotation,3209
Wheat,2024-09-22,2024-12-16,Maturity,Biological pest control,2698
Cotton,2023-03-10,2023-05-14,Seedling,Regular field monitoring,3565
Corn,2024-03-02,2024-08-08,Fruiting,Biological pest control,4593
Cotton,2024-10-28,2025-01-21,Seedling,Crop rotation,2612
Sugarcane,2024-12-13,2025-05-05,Seedling,Crop rotation,4434
Wheat,2024-02-25,2024-07-04,Seedling,Biological pest control,1233
Cotton,2024-11-06,2025-04-12,Flowering,Chemical pesticides,4835
Sugarcane,2024-07-07,2024-11-25,Fruiting,Crop rotation,4255
Corn,2023-11-19,2024-04-09,Fruiting,Chemical pesticides,1579
Soybean,2024-01-19,2024-04-29,Maturity,Biological pest control,3903
Sugarcane,2023-09-15,2024-03-04,Maturity,Crop rotation,1394
Tomato,2024-05-28,2024-09-30,Fruiting,Chemical pesticides,3643
Sugarcane,2023-09-01,2024-02-12,Maturity,Chemical pesticides,734
Tomato,2023-08-25,2024-02-18,Flowering,Regular field monitoring,1203
Rice,2025-01-30,2025-05-06,Seedling,Use of organic pesticides,2604
Cotton,2024-01-06,2024-03-10,Vegetative,Chemical pesticides,845
Barley,2023-11-02,2024-04-15,Seedling,Regular field monitoring,4277
Potato,2023-09-06,2023-11-17,Vegetative,Biological pest control,1026
Soybean,2024-05-21,2024-10-30,Maturity,Use of organic pesticides,798
Soybean,2023-07-16,2023-10-18,Flowering,Chemical pesticides,3110
Tomato,2024-03-18,2024-05-26,Flowering,Biological pest control,1678
Wheat,2023-05-06,2023-08-09,Flowering,Chemical pesticides,3017
Cotton,2023-06-01,2023-10-25,Flowering,Neem oil application,3817
Sugarcane,2023-10-06,2024-01-10,Seedling,Biological pest control,4993
Soybean,2023-07-08,2023-10-18,Vegetative,Use of organic pesticides,3208
Wheat,2024-03-22,2024-07-10,Maturity,Crop rotation,1096
Potato,2023-09-27,2024-01-01,Seedling,Use of organic pesticides,2511
Wheat,2024-09-11,2025-02-02,Fruiting,Regular field monitoring,2644
Barley,2023-12-18,2024-04-08,Flowering,Neem oil application,4768
Tomato,2023-12-23,2024-03-23,Fruiting,Use of organic pesticides,4165
Cotton,2023-05-04,2023-07-29,Fruiting,Crop rotation,1663
Tomato,2023-05-15,2023-09-28,Seedling,Use of organic pesticides,4475
Lettuce,2023-11-10,2024-02-20,Fruiting,Biological pest control,3167
Cotton,2023-07-08,2023-12-22,Seedling,Chemical pesticides,645
Rice,2023-04-18,2023-09-16,Maturity,Neem oil application,986
Corn,2025-01-23,2025-03-26,Vegetative,Use of organic pesticides,4144
Soybean,2023-12-24,2024-04-05,Fruiting,Chemical pesticides,2716
Tomato,2023-12-14,2024-02-14,Seedling,Neem oil application,3324
Barley,2023-07-21,2023-12-20,Seedling,Crop rotation,1763
Tomato,2023-06-22,2023-09-28,Seedling,Chemical pesticides,4173
Cotton,2024-02-01,2024-06-05,Seedling,Biological pest control,4247
Lettuce,2024-03-11,2024-05-19,Maturity,Regular field monitoring,3986
Sugarcane,2023-07-05,2023-11-09,Seedling,Crop rotation,4605
Sugarcane,2024-07-02,2024-12-27,Maturity,Neem oil application,3299
Rice,2023-06-02,2023-10-07,Vegetative,Crop rotation,2906
Rice,2024-06-12,2024-09-09,Maturity,Use of organic pesticides,2941
Potato,2023-05-11,2023-09-01,Vegetative,Neem oil application,2101
Cotton,2024-09-11,2025-03-10,Maturity,Crop rotation,3554
Tomato,2024-11-07,2025-01-18,Seedling,Use of organic pesticides,4811
Potato,2023-07-24,2023-11-01,Flowering,Neem oil application,2876
Barley,2023-07-26,2023-10-18,Flowering,Use of organic pesticides,3398
Potato,2024-04-02,2024-06-25,Seedling,Use of organic pesticides,4362
Corn,2024-11-17,2025-03-03,Flowering,Crop rotation,4702
Sugarcane,2023-05-02,2023-08-06,Seedling,Biological pest control,2384
Potato,2024-07-24,2024-12-15,Maturity,Biological pest control,2589
Barley,2024-02-03,2024-05-28,Maturity,Chemical pesticides,4396
Tomato,2024-07-06,2024-12-13,Seedling,Neem oil application,1721
Cotton,2023-09-16,2023-11-28,Flowering,Neem oil application,3724
Cotton,2023-12-15,2024-04-19,Vegetative,Regular field monitoring,4576
Soybean,2023-03-25,2023-09-02,Flowering,Chemical pesticides,4879
Lettuce,2023-05-22,2023-09-10,Fruiting,Use of organic pesticides,3392
Sugarcane,2024-05-25,2024-08-24,Maturity,Crop rotation,4285
Corn,2023-08-22,2024-01-09,Seedling,Biological pest control,1842
Barley,2023-04-21,2023-10-10,Fruiting,Chemical pesticides,4215
Wheat,2025-02-14,2025-07-14,Fruiting,Crop rotation,1371
Tomato,2023-11-29,2024-01-30,Maturity,Neem oil application,4727
Lettuce,2024-10-24,2025-01-20,Flowering,Use of organic pesticides,4567
Corn,2023-02-22,2023-06-29,Maturity,Neem oil application,4112
Tomato,2023-12-23,2024-04-27,Flowering,Chemical pesticides,3845
Rice,2024-12-12,2025-03-05,Flowering,Biological pest control,4387
Tomato,2023-04-17,2023-06-17,Vegetative,Use of organic pesticides,1774
Soybean,2023-05-16,2023-10-18,Fruiting,Crop rotation,2534
Tomato,2023-11-27,2024-05-22,Maturity,Crop rotation,4006
Cotton,2024-12-08,2025-03-02,Vegetative,Use of organic pesticides,2869
Potato,2023-04-15,2023-08-24,Maturity,Regular field monitoring,2236
Sugarcane,2023-09-27,2023-11-28,Seedling,Regular field monitoring,1343
Rice,2024-03-11,2024-08-01,Maturity,Crop rotation,2102
Soybean,2023-06-11,2023-08-22,Maturity,Use of organic pesticides,1350
Potato,2023-10-31,2024-01-03,Flowering,Biological pest control,4525
Potato,2024-07-07,2024-12-21,Seedling,Crop rotation,4426
Tomato,2023-05-28,2023-09-20,Vegetative,Crop rotation,1849
Lettuce,2024-12-19,2025-05-13,Fruiting,Neem oil application,1379
Corn,2024-09-01,2025-01-12,Vegetative,Use of organic pesticides,2485
Wheat,2023-03-10,2023-08-02,Flowering,Use of organic pesticides,3908
Sugarcane,2023-09-03,2023-12-09,Vegetative,Regular field monitoring,2769
Lettuce,2024-08-29,2024-12-28,Maturity,Crop rotation,2146
Wheat,2023-04-05,2023-07-30,Flowering,Use of organic pesticides,4558
Soybean,2024-05-23,2024-11-17,Vegetative,Neem oil application,2000
Potato,2024-02-11,2024-07-03,Maturity,Neem oil application,1511
Corn,2023-10-23,2024-03-01,Fruiting,Biological pest control,4584
Corn,2024-02-25,2024-07-23,Flowering,Crop rotation,2899
Corn,2023-10-08,2024-03-26,Maturity,Regular field monitoring,3199
Corn,2024-12-06,2025-04-03,Flowering,Regular field monitoring,2760
Cotton,2025-01-31,2025-06-13,Maturity,Crop rotation,1042
Rice,2024-06-12,2024-08-20,Maturity,Neem oil application,1121
Sugarcane,2023-06-22,2023-09-10,Flowering,Regular field monitoring,3226
Wheat,2023-08-25,2023-11-04,Maturity,Chemical pesticides,4442
Corn,2024-04-09,2024-07-26,Flowering,Chemical pesticides,715
Barley,2023-11-08,2024-04-07,Vegetative,Use of organic pesticides,1422
Wheat,2024-05-21,2024-08-28,Maturity,Regular field monitoring,3431
Rice,2024-10-08,2025-01-21,Seedling,Crop rotation,2558
Rice,2024-07-02,2024-11-20,Seedling,Crop rotation,1847
Soybean,2023-08-01,2024-01-19,Seedling,Regular field monitoring,3368
Soybean,2024-12-17,2025-03-26,Fruiting,Regular field monitoring,2745
Potato,2024-12-27,2025-05-06,Maturity,Biological pest control,1743
Lettuce,2023-05-26,2023-09-01,Fruiting,Use of organic pesticides,3626
Rice,2023-07-14,2023-11-29,Flowering,Crop rotation,1248
Tomato,2023-11-13,2024-02-01,Flowering,Use of organic pesticides,1233
Potato,2023-10-09,2023-12-30,Vegetative,Use of organic pesticides,992
Cotton,2024-11-02,2025-03-28,Fruiting,Neem oil application,2654
Barley,2023-06-01,2023-09-22,Flowering,Regular field monitoring,1672
Cotton,2024-01-09,2024-06-27,Fruiting,Crop rotation,3028
Soybean,2023-08-17,2023-12-05,Maturity,Crop rotation,2315
Rice,2023-05-17,2023-08-07,Maturity,Crop rotation,2086
Rice,2024-11-02,2025-02-09,Seedling,Crop rotation,4732
Lettuce,2024-07-04,2024-09-24,Vegetative,Chemical pesticides,4612
Tomato,2023-12-05,2024-03-24,Flowering,Use of organic pesticides,2866
Cotton,2023-08-28,2023-12-09,Vegetative,Neem oil application,4537
Rice,2024-03-02,2024-07-07,Vegetative,Chemical pesticides,786
Soybean,2024-05-05,2024-07-19,Flowering,Crop rotation,4335
Soybean,2023-06-30,2023-09-25,Vegetative,Use of organic pesticides,2721
Wheat,2024-12-29,2025-06-21,Vegetative,Neem oil application,4542
Lettuce,2023-11-08,2024-04-29,Flowering,Chemical pesticides,3028
Corn,2024-10-24,2025-01-26,Vegetative,Crop rotation,3689
Sugarcane,2023-12-05,2024-05-11,Vegetative,Chemical pesticides,4971
Soybean,2023-11-06,2024-01-14,Flowering,Crop rotation,664
Sugarcane,2023-07-10,2023-09-23,Seedling,Use of organic pesticides,4723
Sugarcane,2024-11-02,2025-05-01,Fruiting,Chemical pesticides,2164
Soybean,2024-02-29,2024-05-14,Fruiting,Use of organic pesticides,3663
Sugarcane,2024-01-15,2024-06-18,Seedling,Neem oil application,2291
Lettuce,2023-03-19,2023-07-11,Flowering,Biological pest control,1998
Cotton,2024-12-22,2025-06-16,Flowering,Use of organic pesticides,792
Barley,2025-01-04,2025-05-06,Fruiting,Chemical pesticides,1145
Potato,2024-11-13,2025-04-29,Flowering,Biological pest control,575
Lettuce,2023-11-30,2024-03-07,Maturity,Neem oil application,4947
Wheat,2023-12-01,2024-02-09,Seedling,Regular field monitoring,1391
Tomato,2023-08-10,2023-10-10,Fruiting,Neem oil application,1302
Corn,2024-01-16,2024-06-19,Fruiting,Chemical pesticides,2261
Tomato,2025-01-03,2025-03-20,Maturity,Regular field monitoring,563
Tomato,2024-01-07,2024-03-31,Vegetative,Use of organic pesticides,4896
Soybean,2023-04-11,2023-08-17,Seedling,Neem oil application,521
Wheat,2024-03-28,2024-09-02,Vegetative,Neem oil application,3029
Potato,2024-10-13,2025-02-07,Seedling,Neem oil application,2673
Corn,2024-03-08,2024-05-16,Fruiting,Regular field monitoring,1381
Cotton,2024-04-18,2024-09-23,Fruiting,Neem oil application,1493
Lettuce,2023-07-03,2023-12-15,Maturity,Use of organic pesticides,2945
Potato,2024-07-04,2024-12-27,Vegetative,Neem oil application,1809
Rice,2023-11-09,2024-01-26,Seedling,Chemical pesticides,1301
Corn,2024-12-07,2025-03-29,Flowering,Neem oil application,639
Potato,2024-02-02,2024-05-19,Maturity,Regular field monitoring,2550
Barley,2023-03-28,2023-07-30,Fruiting,Regular field monitoring,4427
Potato,2023-10-08,2023-12-13,Flowering,Use of organic pesticides,3229
Corn,2024-11-19,2025-03-31,Flowering,Biological pest control,3528
Rice,2024-03-17,2024-08-03,Vegetative,Chemical pesticides,923
Corn,2023-06-08,2023-08-27,Fruiting,Neem oil application,4994
Rice,2023-04-24,2023-10-11,Vegetative,Chemical pesticides,3618
Rice,2024-01-17,2024-05-01,Vegetative,Biological pest control,3991
Soybean,2024-08-29,2025-02-24,Flowering,Chemical pesticides,2487
Tomato,2023-08-19,2023-11-18,Flowering,Chemical pesticides,1723
Sugarcane,2023-12-15,2024-03-22,Vegetative,Chemical pesticides,1590
Lettuce,2023-08-10,2024-01-13,Fruiting,Crop rotation,921
Corn,2025-01-29,2025-05-28,Seedling,Neem oil application,3224
Lettuce,2025-02-08,2025-06-27,Fruiting,Biological pest control,4058
Potato,2024-12-17,2025-04-12,Flowering,Chemical pesticides,4083
Tomato,2025-01-22,2025-04-14,Fruiting,Neem oil application,504
Potato,2024-07-23,2024-12-11,Vegetative,Crop rotation,3361
Barley,2024-01-08,2024-04-05,Flowering,Crop rotation,2212
Cotton,2024-12-02,2025-05-04,Fruiting,Use of organic pesticides,2281
Potato,2023-03-05,2023-07-06,Maturity,Use of organic pesticides,2917
Tomato,2023-11-01,2024-02-03,Flowering,Crop rotation,2758
Wheat,2023-06-20,2023-12-07,Fruiting,Use of organic pesticides,4256
Soybean,2024-09-12,2025-02-14,Maturity,Regular field monitoring,4385
Cotton,2024-05-18,2024-10-12,Flowering,Neem oil application,4789
Sugarcane,2023-03-30,2023-08-10,Seedling,Biological pest control,627
Soybean,2023-05-12,2023-11-08,Flowering,Regular field monitoring,1172
Sugarcane,2024-03-31,2024-06-06,Flowering,Chemical pesticides,1700
Barley,2023-02-20,2023-06-19,Fruiting,Regular field monitoring,4333
Corn,2023-12-14,2024-04-21,Seedling,Use of organic pesticides,1736
Cotton,2024-01-23,2024-06-17,Flowering,Regular field monitoring,1160
Wheat,2024-04-05,2024-06-29,Flowering,Crop rotation,2291
Tomato,2024-12-27,2025-03-15,Flowering,Regular field monitoring,2926
Tomato,2024-07-26,2024-11-10,Seedling,Use of organic pesticides,3467
Potato,2023-10-18,2024-02-17,Vegetative,Regular field monitoring,3497
Cotton,2023-07-18,2023-12-03,Vegetative,Crop rotation,4202
Soybean,2024-04-13,2024-09-19,Seedling,Regular field monitoring,1899
Sugarcane,2024-09-04,2024-12-20,Flowering,Use of organic pesticides,2043
Wheat,2024-04-26,2024-07-10,Fruiting,Use of organic pesticides,799
Rice,2023-08-17,2023-12-24,Flowering,Neem oil application,2154
Barley,2023-11-17,2024-03-01,Fruiting,Use of organic pesticides,4824
Wheat,2023-07-03,2023-11-11,Seedling,Biological pest control,670
Potato,2025-01-27,2025-03-28,Flowering,Chemical pesticides,4376
Sugarcane,2024-03-27,2024-08-07,Flowering,Regular field monitoring,3405
Rice,2023-09-08,2023-12-25,Flowering,Use of organic pesticides,1257
Corn,2023-12-13,2024-05-05,Seedling,Biological pest control,1123
Lettuce,2024-08-15,2025-02-11,Seedling,Regular field monitoring,4055
Cotton,2024-12-19,2025-06-06,Vegetative,Use of organic pesticides,830
Corn,2024-10-14,2025-03-23,Maturity,Chemical pesticides,4890
Lettuce,2024-11-19,2025-04-20,Vegetative,Regular field monitoring,4826
Tomato,2024-11-24,2025-04-01,Maturity,Biological pest control,2923
Lettuce,2025-02-11,2025-07-12,Seedling,Biological pest control,4263
Sugarcane,2023-09-14,2024-01-16,Maturity,Crop rotation,2501
Soybean,2024-11-15,2025-04-21,Fruiting,Chemical pesticides,3593
Barley,2023-09-13,2024-02-01,Fruiting,Biological pest control,3920
Soybean,2023-10-03,2024-03-26,Fruiting,Use of organic pesticides,1637
Cotton,2024-04-04,2024-06-24,Fruiting,Use of organic pesticides,1102
Rice,2025-01-22,2025-07-03,Seedling,Neem oil application,3035
Barley,2023-09-10,2024-02-20,Flowering,Regular field monitoring,3397
Wheat,2024-10-05,2025-02-19,Fruiting,Use of organic pesticides,4220
Tomato,2024-05-08,2024-07-25,Maturity,Neem oil application,773
Barley,2023-03-17,2023-06-25,Seedling,Biological pest control,1174
Cotton,2024-05-23,2024-08-03,Vegetative,Use of organic pesticides,3224
Rice,2023-12-28,2024-06-04,Seedling,Crop rotation,2182
Soybean,2023-06-28,2023-10-21,Maturity,Biological pest control,3623
Corn,2024-06-24,2024-09-15,Vegetative,Neem oil application,3546
Wheat,2023-12-09,2024-03-16,Maturity,Chemical pesticides,2604
Rice,2024-02-10,2024-05-21,Flowering,Crop rotation,4954
Rice,2024-05-29,2024-08-09,Seedling,Crop rotation,1889
Soybean,2023-05-22,2023-10-16,Seedling,Chemical pesticides,2697
Barley,2023-07-30,2023-11-08,Fruiting,Chemical pesticides,870
Tomato,2023-08-27,2023-11-26,Maturity,Crop rotation,4754
Wheat,2023-06-01,2023-09-22,Maturity,Use of organic pesticides,3641
Rice,2024-07-14,2024-12-21,Maturity,Regular field monitoring,994
Cotton,2023-07-24,2023-10-16,Flowering,Chemical pesticides,1360
Rice,2024-05-20,2024-08-23,Maturity,Crop rotation,3868
Cotton,2024-09-26,2025-02-12,Flowering,Regular field monitoring,3214
Sugarcane,2024-02-11,2024-04-12,Vegetative,Neem oil application,965
Sugarcane,2023-09-09,2023-12-17,Vegetative,Neem oil application,1101
Wheat,2023-07-25,2023-10-14,Vegetative,Crop rotation,4821
Cotton,2024-03-05,2024-08-23,Flowering,Regular field monitoring,1330
Lettuce,2023-09-09,2024-02-07,Flowering,Use of organic pesticides,1958
Potato,2023-06-06,2023-11-19,Vegetative,Crop rotation,1134
Rice,2024-03-12,2024-06-04,Flowering,Use of organic pesticides,600
Rice,2023-08-09,2023-11-18,Fruiting,Chemical pesticides,2610
Tomato,2023-07-12,2023-10-07,Vegetative,Neem oil application,2747
Tomato,2023-06-11,2023-12-07,Seedling,Neem oil application,2357
Wheat,2023-07-28,2023-11-04,Fruiting,Chemical pesticides,517
Cotton,2024-08-21,2024-12-15,Fruiting,Regular field monitoring,2069
Wheat,2025-02-06,2025-05-17,Flowering,Crop rotation,4588
Cotton,2023-10-23,2024-02-19,Seedling,Regular field monitoring,2123
Corn,2023-05-24,2023-07-28,Flowering,Crop rotation,2993
Rice,2024-11-03,2025-01-26,Fruiting,Use of organic pesticides,2144
Tomato,2024-02-23,2024-06-09,Maturity,Use of organic pesticides,3723
Cotton,2023-08-11,2023-11-09,Maturity,Neem oil application,3782
Barley,2024-07-15,2024-11-13,Maturity,Neem oil application,3267
Potato,2024-08-08,2024-12-18,Flowering,Regular field monitoring,3644
Tomato,2024-05-19,2024-11-08,Seedling,Use of organic pesticides,578
Rice,2024-05-19,2024-10-04,Maturity,Biological pest control,812
Cotton,2024-04-18,2024-07-03,Vegetative,Crop rotation,3896
Soybean,2023-03-21,2023-06-13,Vegetative,Chemical pesticides,1183
Potato,2024-03-30,2024-06-11,Seedling,Biological pest control,836
Cotton,2023-11-26,2024-02-03,Vegetative,Neem oil application,894
Barley,2023-03-23,2023-09-15,Maturity,Neem oil application,1632
Sugarcane,2023-11-29,2024-05-22,Seedling,Regular field monitoring,795
Barley,2024-01-16,2024-06-26,Vegetative,Crop rotation,634
Soybean,2024-04-28,2024-07-01,Seedling,Biological pest control,1165
Barley,2023-06-06,2023-09-25,Flowering,Chemical pesticides,2062
Lettuce,2023-12-23,2024-02-25,Seedling,Chemical pesticides,4335
Sugarcane,2024-09-29,2024-12-14,Vegetative,Regular field monitoring,3326
Rice,2023-08-27,2023-11-13,Vegetative,Use of organic pesticides,4357
Wheat,2024-02-10,2024-04-11,Maturity,Crop rotation,1867
Sugarcane,2024-05-18,2024-09-17,Maturity,Biological pest control,1264
Soybean,2023-08-12,2023-11-07,Vegetative,Chemical pesticides,2446
Potato,2023-07-23,2023-11-02,Maturity,Chemical pesticides,3682
Tomato,2023-04-01,2023-06-28,Flowering,Regular field monitoring,3577
Barley,2024-11-19,2025-03-25,Fruiting,Chemical pesticides,4950
Tomato,2024-09-20,2024-12-29,Vegetative,Biological pest control,1328
Potato,2023-12-15,2024-04-25,Maturity,Chemical pesticides,3217
Barley,2024-09-07,2025-01-07,Seedling,Crop rotation,2342
Cotton,2024-01-11,2024-05-05,Flowering,Regular field monitoring,1343
Tomato,2023-10-03,2024-02-07,Flowering,Crop rotation,1374
Barley,2024-02-27,2024-08-03,Vegetative,Neem oil application,3166
Corn,2024-12-01,2025-01-30,Seedling,Neem oil application,2986
Lettuce,2023-06-10,2023-10-31,Flowering,Use of organic pesticides,2810
Rice,2024-08-08,2024-11-28,Fruiting,Regular field monitoring,957
Barley,2024-01-14,2024-06-02,Fruiting,Crop rotation,4281
Sugarcane,2024-05-12,2024-10-19,Maturity,Use of organic pesticides,4498
Soybean,2024-11-14,2025-02-27,Vegetative,Use of organic pesticides,2476
Barley,2023-06-20,2023-12-17,Maturity,Crop rotation,4801
Cotton,2024-12-19,2025-03-31,Maturity,Crop rotation,2151
Tomato,2023-11-01,2024-03-21,Fruiting,Regular field monitoring,1712
Cotton,2024-03-17,2024-08-08,Maturity,Use of organic pesticides,4213
Corn,2023-07-18,2023-10-09,Seedling,Crop rotation,3104
Potato,2023-02-25,2023-07-29,Maturity,Regular field monitoring,4896
Lettuce,2024-07-11,2024-11-07,Fruiting,Crop rotation,2308
Sugarcane,2024-10-09,2025-02-20,Fruiting,Use of organic pesticides,780
Soybean,2024-12-15,2025-06-10,Fruiting,Chemical pesticides,763
Tomato,2023-05-20,2023-08-02,Fruiting,Neem oil application,2339
Tomato,2024-10-12,2025-02-17,Fruiting,Chemical pesticides,2358
Tomato,2024-06-23,2024-11-07,Flowering,Crop rotation,1573
Cotton,2024-05-26,2024-11-21,Flowering,Regular field monitoring,4577
Rice,2023-06-24,2023-12-05,Flowering,Chemical pesticides,1379
Potato,2024-02-06,2024-06-07,Vegetative,Biological pest control,1585
Rice,2024-10-06,2024-12-23,Seedling,Neem oil application,713
Barley,2023-09-21,2024-01-16,Flowering,Chemical pesticides,4772
Corn,2023-02-27,2023-05-27,Flowering,Biological pest control,2767
Wheat,2024-12-08,2025-06-03,Vegetative,Chemical pesticides,3614
Sugarcane,2024-05-28,2024-09-17,Fruiting,Crop rotation,3133
Cotton,2024-05-12,2024-07-14,Vegetative,Chemical pesticides,3273
Potato,2023-11-07,2024-02-02,Vegetative,Use of organic pesticides,2404
Lettuce,2023-03-01,2023-05-19,Maturity,Use of organic pesticides,601
Corn,2023-07-24,2024-01-19,Flowering,Neem oil application,2802
Potato,2024-08-27,2024-12-06,Seedling,Use of organic pesticides,2448
Potato,2023-07-27,2023-10-30,Seedling,Chemical pesticides,1701
Potato,2023-11-17,2024-05-08,Maturity,Biological pest control,4228
Cotton,2024-10-27,2025-03-26,Seedling,Crop rotation,1611
Rice,2023-08-11,2023-12-21,Vegetative,Crop rotation,1284
Lettuce,2023-11-11,2024-01-20,Flowering,Chemical pesticides,727
Potato,2025-01-30,2025-07-08,Maturity,Neem oil application,1283
Cotton,2023-06-21,2023-12-06,Vegetative,Use of organic pesticides,1119
Cotton,2024-03-19,2024-09-10,Fruiting,Chemical pesticides,1623
Sugarcane,2024-02-23,2024-07-24,Seedling,Biological pest control,2402
Corn,2024-03-28,2024-08-31,Fruiting,Chemical pesticides,2192
Tomato,2024-11-03,2025-02-27,Vegetative,Use of organic pesticides,2938
Barley,2024-03-01,2024-07-24,Flowering,Chemical pesticides,4184
Rice,2024-10-19,2025-03-03,Flowering,Biological pest control,1953
Soybean,2023-08-16,2023-11-29,Seedling,Crop rotation,1006
Soybean,2023-03-10,2023-05-28,Vegetative,Use of organic pesticides,4983
Sugarcane,2024-03-29,2024-09-07,Fruiting,Regular field monitoring,3807
Wheat,2024-10-10,2025-01-06,Flowering,Chemical pesticides,2771
Tomato,2023-10-10,2024-01-07,Fruiting,Neem oil application,2546
Rice,2023-03-16,2023-09-12,Flowering,Use of organic pesticides,4946
Barley,2024-12-21,2025-04-23,Maturity,Chemical pesticides,4301
Sugarcane,2025-01-31,2025-05-10,Vegetative,Crop rotation,3308
Tomato,2024-04-12,2024-08-31,Vegetative,Neem oil application,939
Barley,2024-08-02,2025-01-13,Maturity,Neem oil application,1930
Soybean,2024-11-02,2025-04-02,Maturity,Biological pest control,4324
Barley,2023-12-05,2024-03-31,Seedling,Chemical pesticides,3289
Barley,2024-03-04,2024-08-22,Flowering,Crop rotation,2354
Lettuce,2024-07-24,2024-10-12,Vegetative,Neem oil application,730
Barley,2024-09-18,2025-01-15,Seedling,Use of organic pesticides,4082
Cotton,2024-04-24,2024-06-30,Flowering,Use of organic pesticides,601
Rice,2025-01-22,2025-04-25,Fruiting,Neem oil application,3360
Sugarcane,2023-03-25,2023-06-08,Flowering,Crop rotation,1729
Cotton,2023-09-12,2024-03-05,Flowering,Crop rotation,887
